ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,LandSize,Age,Latitude,Longitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average,closest_primary_school,distance_to_closest_primary,primary_school_ranking,closest_secondary_school,distance_to_closestsecondary,secondary_school_ranking
ID299544431,1/17 Milne St,MITCHAM,926000.0,t,2017-07-22,4,3.0,2.0,374.0,19.0,-37.81521,145.18726999999996,19900,517.8987168700936,35.39393939393939,0,1471.0,7759.666666666667,779.6666666666666,St John's School,371.0897558533081,489,Mullauna Secondary College,936.7927158807016,not ranked
ID223029589,28 Oakwood Rd,ALBANVALE,526500.0,h,2017-06-24,3,1.0,2.0,529.0,54.0,-37.7438,144.77059,20002,2595.9168801125516,32.3,0,119.33333333333333,452.3333333333333,22.0,Albanvale Primary School,337.9587621541286,not ranked,Victoria University Secondary College,1386.1089616351892,not ranked
ID848510240,4/1 Nangnak La,MONT ALBERT,660000.0,t,2016-05-14,2,2.0,1.0,146.0,89.0,-37.8157,145.1101,19896,577.5439593868311,28.571428571428573,0,278.0,489.0,65.0,Mont Albert Primary School,711.0062237602742,135,Box Hill Senior Secondary College,736.1318434899149,not ranked
ID607339444,8/10 Middle Rd,MARIBYRNONG,399000.0,h,2016-07-05,2,1.0,1.0,904.0,34.0,-37.7679,144.8935,20038,2271.232858212541,22.0,0,610.0,1743.6666666666667,228.0,St Margaret's Primary School,243.74939335158902,216,Ave Maria College,1315.8874447308478,111
ID761879195,1/2 Ellesmere Rd,BURWOOD EAST,835000.0,u,2017-07-29,3,2.0,2.0,347.0,19.0,-37.85377,145.15511999999995,19898,3778.0698591876967,30.384615384615383,0,684.0,1695.6666666666667,161.0,Burwood East Primary School,724.9431898153754,39,Forest Hill College,956.1058257776168,409
ID503542388,280 Nott St,PORT MELBOURNE,1355000.0,h,2017-06-17,2,1.0,0.0,156.0,69.0,-37.83343,144.94554,22180,1800.3033134462237,0.0,1,705.3333333333334,5479.666666666667,335.0,South Melbourne Primary School,834.4830360088903,not ranked,Albert Park College,1274.8979326817446,131
ID901132397,28/29 Nunan St,BRUNSWICK EAST,570000.0,u,2016-05-28,3,1.0,1.0,0.0,79.0,-37.7603,144.9795,20015,1601.8833962699541,23.11111111111111,0,703.6666666666666,1502.0,135.66666666666666,Brunswick East Primary School,555.1109322142128,not ranked,Northcote High School,1784.8256342220798,178
ID242919645,133 Morell St,GLENROY,780000.0,h,2017-03-09,3,1.0,3.0,618.0,59.0,-37.69836,144.93891000000005,19961,1777.2347244495215,38.0,0,1841.6666666666667,9184.666666666666,533.3333333333334,Belle Vue Park Primary School,543.9146576185481,not ranked,Glenroy Private,852.1662879742526,not ranked
ID928848038,83 Best St,FITZROY NORTH,1700000.0,h,2017-03-18,3,2.0,1.0,240.0,129.0,-37.782,144.9834,20019,803.927975110931,18.11111111111111,0,2047.6666666666667,9171.0,742.3333333333334,Fitzroy North Primary School,342.5749065849741,103,Fitzroy High School,483.31744306769275,248
ID268242112,6 Caspian Tce,WILLIAMSTOWN,1200000.0,h,2017-04-29,4,3.0,2.0,183.0,13.0,-37.8566,144.8737,19993,1353.2858776288622,20.571428571428573,0,1064.6666666666667,4200.666666666667,432.6666666666667,Bayside P-12 College,1019.3264321790211,not ranked,Bayside P-12 College,1019.3264321790211,243
